Pt,Pd,Au,Ir,k,V0,u1,s1,A1,A2,File
0.0868,0.0861,0.555,0.2721,9.087176800182581,1.6726305088867182,1.4292716511923726,0.10274948033330114,0.05060626145250578,0.01357542287212522,Run10-2-spot40.DTA.csv
0.4761,0.092,0.3936,0.0383,11.874035718800446,1.6805950831315866,1.2576819869646159,0.11242878603411266,0.023152972797853257,0.001108402958242094,Run10-2-spot41.DTA.csv
0.3729,0.0909,0.4797,0.0566,12.456182545887103,1.7100036435759949,1.2658909623938197,0.11622752519010679,0.03530531777926435,0.0014139052165336597,Run10-2-spot42.DTA.csv
0.2573,0.0782,0.5824,0.0821,12.765191759956314,1.727737155576176,1.3567771069037504,0.048831588841626035,0.05286016649680155,0.002587002917504725,Run10-2-spot43.DTA.csv
0.17,0.0678,0.6538,0.1084,12.265660671868012,1.721499928715998,1.3647376294757065,0.04986447360485638,0.0560531635351601,0.004804937776103133,Run10-2-spot44.DTA.csv
0.1232,0.0679,0.6599,0.149,11.868373726410763,1.7036968481273538,1.3738015285005667,0.05602015954561524,0.053696156075013136,0.007355394884683747,Run10-2-spot45.DTA.csv
0.0807,0.3088,0.3047,0.3059,16.65865203932002,1.7819172982700842,1.532577422712244,0.26487315698181263,0.05607475034239167,0.029539821695983324,Run10-2-spot5.DTA.csv
0.3943,0.2626,0.3045,0.0386,12.60547401485723,1.7264571221717993,1.231719985510464,0.07854441005793888,0.05585164132965251,0.0061718468057661785,Run10-2-spot6.DTA.csv
0.2968,0.2589,0.3731,0.0712,11.604945448372774,1.7252954228129032,1.2470946384087267,0.10326120582529379,0.059216913263082996,0.004048282792454176,Run10-2-spot7.DTA.csv
0.2161,0.2553,0.429,0.1026,10.624385294774795,1.713605241680797,1.3346783983123118,0.07092609046799941,0.05971073294748206,0.004048845096407445,Run10-2-spot8.DTA.csv
0.1599,0.245,0.4481,0.1471,9.585632040025963,1.7027543714320732,1.3662442627458278,0.07009649299783251,0.05805319938680573,0.006988220645653999,Run10-2-spot9.DTA.csv
0.1465,0.5444,0.0746,0.2346,8.683367349785916,1.6723280352860912,1.3722360599227124,0.10407542525952716,0.06600737497703463,0.011085082584580267,Run12-spot1.DTA.csv
0.0624,0.376,0.2307,0.3309,9.40731982050909,1.6259990631539845,1.423879677901954,0.10831264780478275,0.07248892118896996,0.018748214021951818,Run12-spot10.DTA.csv
0.0447,0.3377,0.3148,0.3028,8.66469680450463,1.6716931568324014,1.403967096688679,0.09520609324266872,0.08249111522851528,0.018170132523228678,Run12-spot11.DTA.csv
0.0312,0.2852,0.3979,0.2857,8.943041668179038,1.691222382947052,1.3968337918763423,0.08205622016328389,0.09034725439235844,0.01686349819157211,Run12-spot12.DTA.csv
0.267,0.3257,0.0547,0.3526,8.61039128910489,1.6856361535442663,1.4040147099609201,0.10037321545691023,0.08064153923600975,0.014140624981134269,Run12-spot13.DTA.csv
0.2019,0.3251,0.0794,0.3937,8.952610118348433,1.6475591332066524,1.4165477180442816,0.10922932102294458,0.0739729875123898,0.01800723671306562,Run12-spot14.DTA.csv
0.1513,0.3178,0.1059,0.4251,8.838416776309893,1.6392917846480959,1.4173802060441898,0.10917523224567088,0.06537415224980057,0.016635160739321083,Run12-spot15.DTA.csv
0.109,0.3007,0.1574,0.4329,9.239170563469399,1.6450452438557728,1.4228849306283478,0.10480443182905462,0.06231706802027125,0.014507701090974632,Run12-spot16.DTA.csv
0.0715,0.271,0.2303,0.4273,9.569811427531846,1.636836547291702,1.4350853978463425,0.11717266142296784,0.07200154436829394,0.02234411844195234,Run12-spot17.DTA.csv
0.0474,0.2412,0.3196,0.3919,9.582794094199157,1.638866131278393,1.4343355309246086,0.11553492120665756,0.06498153153619395,0.021256728483395347,Run12-spot18.DTA.csv
0.0342,0.2018,0.416,0.3479,8.896029472244706,1.6906788335887184,1.4099455549148303,0.09332216132684663,0.08161960919921989,0.019686737073735198,Run12-spot19.DTA.csv
